"Name","Symbol","Exchange","Industry","Rating","MarketCap","EV","Revenue","GrossProfit","EBITDA","EBIT","NetIncome","Cash","PPnE","Assets","Debt","Equity","Receivables","Inventory","CurrentAssets","ShortTermDebt","LTD_Cap_Leases","Leases_LongTerm","LongTermDebt","Liabilities","Liabilities_N_Equity","Debt_Current","Debt_NonCurrent","Debt_Net","EBITDA_sd","Vol","EL","BL","LM","AP","AR","RoD","nEL","nBL","nLM","nAP","nAR","nRoD","RD","nRD"
"3M Company (NYSE:MMM)","NYSE:MMM","New York Stock Exchange (NYSE)","Industrials","A+",99704.48,109611.58,31841.9,15447.6,8734.6,7966.3,5026.3,3542.1,9091.7,37798.6,8777.725,13058.5,4518.5,4006.8,13272,353.7,1117.3,253.1,11248.2,31269.35,37798.6,1471,11501.3,9166.3,550.163248499934,0.00501920735473327,0.118468442692285,0.332271482602388,1.45978782971812,2.96198553476748,0.354447046879239,0.804743323437829,0.0816651800713964,0.252164542631208,1.02164415140946,3.26649374711401,0.320659620838737,3.4753562432247,0.804743323437829,3.4753562432247
"AAR Corp. (NYSE:AIR)","NYSE:AIR","New York Stock Exchange (NYSE)","Industrials","BB",1131.61,1412.65,1816.2,272.93,129.26,103.655,37.33,101.91,231.68,1760.14,258.4875,913.05,251.32,489.97,1014.52,0.06,37.37,13.08,328.11,1303.615,1760.14,37.43,341.19,276.71,50.555232721802,0.0357875147572307,0.256294982286506,0.195652658282472,3.56715961373396,0.813767682393784,1.27057246046955,0.519492835996204,0.185944057286119,0.151506392949761,2.1961601848412,0.859441124181391,1.20022153546916,0.704719081377953,0.519492835996204,0.704719081377953
"Abbott Laboratories (NYSE:ABT)","NYSE:ABT","New York Stock Exchange (NYSE)","Health Care","AA-",112198.8,121025.92,27682.23,15806.85,6757.35,5505.365,3594.89,8786.5,7572.2,60436.2,10673.675,27791,5060.8,3604.4,20018.3,1243.9,608.1,261.3,15047.1,46540.7,60436.2,1852,15308.4,8373.9,3131.67135044887,0.0258760383763153,0.159941061657543,0.275237460954436,2.73157831808302,1.93757898605013,0.584507697498617,0.431817982306424,0.0629170946216551,0.141496881927014,1.16505855092772,2.27297441854807,0.487483730462729,0.662752566396396,0.431817982306424,0.662752566396396
"AbbVie Inc. (NYSE:ABBV)","NYSE:ABBV","New York Stock Exchange (NYSE)","Health Care","BBB+",135936.95,166341.05,31122.8,23163.6,13948.2,12604.85,6091.7,11716.5,3320.6,71921.5,28833.525,3519,5464,1798.9,22157.2,678.8,3891.5,186.2,37593.7,70162,71921.5,4570.3,37779.9,30633.7,7359.55087397775,0.0442437442470019,0.239463704182952,0.585356844996416,2.88427225802343,2.58661478846736,0.406161630719764,0.365334908802196,0.162102896085576,0.471582492816367,1.93364976055746,3.4003944386711,0.328800822622388,0.658195598315743,0.365334908802196,0.658195598315743
"ACCO Brands Corporation (NYSE:ACCO)","NYSE:ACCO","New York Stock Exchange (NYSE)","Industrials","BB-",894.3,1812.59,1795.92,568.67,246.32,217.4,98.93,50.45,273.15,2563.77,683.9575,725.74,427.49,277.49,798.8,8.45,29.12,26.63,864.56,2200.9,2563.77,37.57,891.19,878.31,32.9747310662102,0.0181920517415467,0.519484933441835,0.36235345244662,3.8490915155823,0.721315934380828,1.43212299206562,0.273276191901026,0.491424133980135,0.349124999178355,3.64357664279278,0.736711455187796,1.40406219260392,0.290501259149579,0.273276191901026,0.290501259149579
"Adecoagro S.A. (NYSE:AGRO)","NYSE:AGRO","New York Stock Exchange (NYSE)","Consumer Staples","BB",1021.64,1760.08,817.16,260.81,255.28,193,16.347,229.14,1153.7,1949.59,569.15975,872.87,75.71,243.34,623.58,7.6627,178.79,53.7321,595.08,1513.135,1949.59,186.449,648.81,606.12,92.8231628181003,0.0527380362359099,0.477618040539614,0.429944092445548,3.49237269631997,0.941345805583383,1.12775791944997,0.303051621804303,0.344184627967118,0.352957501046564,2.4685744840658,1.07143623649048,0.994324506877472,0.419249766212727,0.303051621804303,0.419249766212727
"Adient plc (NYSE:ADNT)","NYSE:ADNT","New York Stock Exchange (NYSE)","Consumer","BB-",3455,6681.5,16292.25,1149.25,766.5,584.4375,-267.5,719.875,2056.625,11261.5,1981.90625,3742.25,1941.25,764.875,4561.125,55.125,53.375,61.625,2712.375,9390.375,11261.5,108.5,2774,2162.625,263.678917300135,0.0394640301279855,0.597190990046333,0.257151963886348,4.67915415539659,0.58262638697548,1.76391371968924,3.24078433446392,0.443616386178955,0.20986905882813,3.3841645587441,0.640774881451522,1.61033911582186,14.5678249866273,3.24078433446392,14.5678249866273
"ADT Inc. (NYSE:ADT)","NYSE:ADT","New York Stock Exchange (NYSE)","Consumer","B+",6547.88,16498,3008.88,2204.99,1294.6,726.34,-205.36,103.055555555556,2157.52222222222,11558.3777777778,5234.86638888889,2388.75555555556,206.266666666667,118.626666666667,509.8,0,70.7444444444444,65.4788888888889,6877.95555555556,10363.9888888889,11558.3777777778,70.7433333333333,6943.42222222222,6911.13333333333,1060.36566753592,0.0642723765023588,0.619820553951921,0.648515239052354,6.46266938434047,0.993117247604342,1.02109504418694,0.180372133210277,0.610215761437103,0.643665838402822,6.29681509043238,1.00221222002487,1.01148897803825,0.184849286583058,0.180372133210277,0.184849286583058
"Advance Auto Parts, Inc. (NYSE:AAP)","NYSE:AAP","New York Stock Exchange (NYSE)","Consumer","BBB-",10166.33,11989.34,9303.18,4200.68,1043.58,919.81,470.81,533.98,2149.3,8738.89,1237.58915,2730.95,340.75,3946.33,5177.85,5.512,140.9289,636.94,1044.73,7373.41,8738.89,146.4396,1681.667,1294.13,153.941473727301,0.0128398622215486,0.144660458117742,0.194625468367496,1.73522121697903,1.41391924931555,0.726992459787886,0.774720718914142,0.09745283907909,0.130598932382798,1.20102950151574,1.53539147029259,0.679785787745834,4.70764877044896,0.774720718914142,4.70764877044896
"Advanced Drainage Systems, Inc. (NYSE:WMS)","NYSE:WMS","New York Stock Exchange (NYSE)","Industrials","BB-",3189.725,4057.775,1480,380.06,234.19,193.33,50.275,43.771,433.38,1453.79,433.40125,573.152,185.53,284.78,534.47,0,38.35,48.65,505.46,1167.215,1453.79,38.356,554.109,548.67,164.173684790766,0.0404590409253263,0.173466476280923,0.40657015438183,2.93144226085201,2.41632789975331,0.432162320725118,0.391958302432321,0.163181972350682,0.393587413184236,2.79419680397098,2.48840144099495,0.421884483533796,0.418628603694471,0.391958302432321,0.418628603694471
